,pi_key,discipline_classification,discipline.group,Id,Group,Sex,ACTIVITY,unique_activities,unique_activity_grouped,unique_activity_sep_5plus,project_count,project_sep_8plus,activity_per_project,Act_per_proj_quant,Act_per_proj_4grp,activity_grouped
180,nih_1865104,BIOC,BIOC,"Bretscher, Anthony P",study,M,R01,1,1 to 2,1,2,2,0.5,2,2,R01
181,nih_1865133,BIOC,BIOC,"Barber, Diane L",study,F,R01,1,1 to 2,1,4,4,0.25,1,1,R01
182,nih_1865283,CENG,CENG,"Miller, Scott J",study,M,R37,2,1 to 2,2,4,4,0.5,2,2,R
183,nih_1865288,MULT,MULT,"Pagano, Michele",comp,F,P30,5,5+,5+,7,7,0.714285714,5,4,P
184,nih_1865319,CHEM,CHEM,"Scheraga, Harold A",study,M,P41,3,3 to 4,3,8,8+,0.375,2,1,P41
185,nih_1865419,PHAR,PHAR,"Silverman, Richard B",study,M,R01,1,1 to 2,1,5,5,0.2,1,1,R01
186,nih_1865596,CHEM,CHEM,"Case, David A",study,M,P41,3,3 to 4,3,6,6,0.5,2,2,P41
187,nih_1865675,PHAR,PHAR,"Ratain, Mark J",comp,M,M01,4,3 to 4,4,5,5,0.8,5,4,M
188,nih_1865898,IMMU,IMMU,"Kappes, Dietmar J",comp,M,R01,1,1 to 2,1,5,5,0.2,1,1,R01
189,nih_1865909,NEUR,NEUR,"Simpkins, James W",comp,M,P01,3,3 to 4,3,5,5,0.6,4,3,P01
190,nih_1865977,BIOC,BIOC,"Tomkinson, Alan E",study,M,P01,2,1 to 2,2,4,4,0.5,2,2,P01
191,nih_1865979,CENG,CENG,"Silver, Pamela A",study,F,R37,2,1 to 2,2,3,3,0.666666667,4,3,R
192,nih_1865986,CHEM,CHEM,"Aube, Jeffrey",study,M,P50,2,1 to 2,2,4,4,0.5,2,2,P
193,nih_1865994,CHEM,CHEM,"Begley, Tadhg P",comp,M,R01,2,1 to 2,2,3,3,0.666666667,4,3,R01
194,nih_1865995,BIOC,BIOC,"Carman, George M",study,M,R37,2,1 to 2,2,3,3,0.666666667,4,3,R
195,nih_1866114,IMMU,IMMU,"Kielian, Margaret",study,F,U54,3,3 to 4,3,5,5,0.6,4,3,U
196,nih_1866124,AGRI,AGRI,"Dong, Ke",study,F,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
197,nih_1866125,BIOC,BIOC,"Wente, Susan R",study,F,R37,2,1 to 2,2,3,3,0.666666667,4,3,R
198,nih_1866381,AGRI,AGRI,"Duronio, Robert J",study,M,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
199,nih_1866387,IMMU,IMMU,"Harshey, Rasika M",study,F,R01,2,1 to 2,2,4,4,0.5,2,2,R01
200,nih_1866408,AGRI,AGRI,"Dancis, Andrew B",comp,M,R01,2,1 to 2,2,5,5,0.4,2,1,R01
201,nih_1866550,PHAR,PHAR,"Osheroff, Neil",study,M,R01,1,1 to 2,1,2,2,0.5,2,2,R01
202,nih_1866572,MEDI,MEDI,"Hall, John E",comp,M,P20,2,1 to 2,2,2,2,1,5,4,P
203,nih_1866622,PHAR,PHAR,"Salvesen, Guy S",comp,M,U54,6,5+,5+,11,8+,0.545454545,3,3,U
204,nih_1866808,PHAR,PHAR,"Reed, John C",comp,M,P01,6,5+,5+,23,8+,0.260869565,1,1,P01
205,nih_1866951,MULT,MULT,"Bowie, James U",study,M,R01,1,1 to 2,1,7,7,0.142857143,1,1,R01
206,nih_1866990,NEUR,NEUR,"Worley, Paul F",comp,M,P50,4,3 to 4,4,11,8+,0.363636364,1,1,P
207,nih_1866999,PHAR,PHAR,"Marmorstein, Ronen",study,M,P41,3,3 to 4,3,10,8+,0.3,1,1,P41
208,nih_1867005,MEDI,MEDI,"Miyamoto, Shigeki",comp,M,R56,2,1 to 2,2,5,5,0.4,2,1,R
209,nih_1867042,AGRI,AGRI,"Marks, Michael S",comp,M,R01,3,3 to 4,3,9,8+,0.333333333,1,1,R01
210,nih_1867332,NEUR,NEUR,"Harder, David R",comp,M,P01,2,1 to 2,2,7,7,0.285714286,1,1,P01
211,nih_1867470,MULT,MULT,"Sasisekharan, Ram",study,M,U54,3,3 to 4,3,7,7,0.428571429,2,2,U
212,nih_1867499,IMMU,IMMU,"Lieber, Michael R",comp,M,R37,3,3 to 4,3,6,6,0.5,2,2,R
213,nih_1867652,AGRI,AGRI,"Toczyski, David P",study,M,R01,1,1 to 2,1,2,2,0.5,2,2,R01
214,nih_1867781,IMMU,IMMU,"Goff, Stephen P",comp,M,P01,3,3 to 4,3,4,4,0.75,5,4,P01
215,nih_1867974,MULT,MULT,NA,NA,,NA,1,1 to 2,1,3,3,0.333333333,1,1,NA
216,nih_1868056,MULT,MULT,"Berger, James M",comp,M,R01,2,1 to 2,2,4,4,0.5,2,2,R01
217,nih_1868094,IMMU,IMMU,"Arnold, Edward",comp,M,R37,1,1 to 2,1,1,1,1,5,4,R
218,nih_1868148,BIOC,BIOC,"Cafiso, David S",study,M,P01,2,1 to 2,2,3,3,0.666666667,4,3,P01
219,nih_1868354,PHAR,PHAR,"Nigam, Sanjay K",comp,M,P01,3,3 to 4,3,14,8+,0.214285714,1,1,P01
220,nih_1868553,CHEM,CHEM,"Karlin, Kenneth D",study,M,R01,2,1 to 2,2,3,3,0.666666667,4,3,R01
221,nih_1868561,PHAR,PHAR,"Spiegel, Sarah",comp,F,U19,3,3 to 4,3,5,5,0.6,4,3,U
222,nih_1868679,AGRI,AGRI,"Mello, Craig C",study,M,P41,4,3 to 4,4,5,5,0.8,5,4,P41
223,nih_1868703,AGRI,AGRI,"Ostap, E M",study,M,P01,2,1 to 2,2,3,3,0.666666667,4,3,P01
224,nih_1868708,IMMU,IMMU,"Atchison, Michael L",study,M,R01,1,1 to 2,1,6,6,0.166666667,1,1,R01
225,nih_1868889,IMMU,IMMU,"Tracey, Kevin J",study,M,M01,3,3 to 4,3,6,6,0.5,2,2,M
226,nih_1868897,CHEM,CHEM,"Beal, Peter A",study,M,R21,2,1 to 2,2,5,5,0.4,2,1,R
227,nih_1868899,CENG,CENG,"Schrock, Richard R",study,M,R01,2,1 to 2,2,4,4,0.5,2,2,R01
228,nih_1868923,PHAR,PHAR,"Khosla, Chaitan",comp,M,R01,3,3 to 4,3,9,8+,0.333333333,1,1,R01
229,nih_1868925,MULT,MULT,"Dynlacht, Brian D",comp,M,P30,3,3 to 4,3,5,5,0.6,4,3,P
230,nih_1869025,MULT,MULT,"Devreotes, Peter N",study,M,R37,2,1 to 2,2,4,4,0.5,2,2,R
231,nih_1869040,BIOC,BIOC,"Holden, Hazel",comp,F,R01,2,1 to 2,2,2,2,1,5,4,R01
232,nih_1869058,PHAR,PHAR,"Hannun, Yusuf A",study,M,P30,4,3 to 4,4,9,8+,0.444444444,2,2,P
233,nih_1869149,BIOC,BIOC,"Montell, Denise J",study,F,U54,2,1 to 2,2,3,3,0.666666667,4,3,U
234,nih_1869345,AGRI,AGRI,"Greenstein, David I",study,M,R56,3,3 to 4,3,4,4,0.75,5,4,R
235,nih_1869355,BIOC,BIOC,"Klionsky, Daniel J",study,M,R01,1,1 to 2,1,1,1,1,5,4,R01
236,nih_1869983,IMMU,IMMU,"Lieberman, Paul M",comp,M,P30,5,5+,5+,10,8+,0.5,2,2,P
237,nih_1869991,BIOC,BIOC,"Aggarwal, Aneel K",comp,M,P41,2,1 to 2,2,8,8+,0.25,1,1,P41
238,nih_1869994,MULT,MULT,"Gautam, Narasimhan",study,M,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
239,nih_1869995,AGRI,AGRI,"Rine, Jasper D",study,M,P41,4,3 to 4,4,6,6,0.666666667,4,3,P41
240,nih_1870096,NEUR,NEUR,"Hajnoczky, Gyorgy",comp,M,RC2,2,1 to 2,2,4,4,0.5,2,2,RC
241,nih_1870363,MEDI,MEDI,"Song, Wenchao",comp,M,R01,2,1 to 2,2,5,5,0.4,2,1,R01
242,nih_1870433,PHAR,PHAR,"Miller, Keith W",study,M,P41,4,3 to 4,4,4,4,1,5,4,P41
243,nih_1870546,CENG,CENG,"Ealick, Steven E",comp,M,P41,4,3 to 4,4,8,8+,0.5,2,2,P41
244,nih_1870560,IMMU,IMMU,"Swanstrom, Ronald I",comp,M,M01,6,5+,5+,15,8+,0.4,2,1,M
245,nih_1870596,IMMU,IMMU,"Cameron, Craig E",comp,M,U01,4,3 to 4,4,6,6,0.666666667,4,3,U
246,nih_1870653,AGRI,AGRI,"Johnson, Stephen L",study,M,P01,4,3 to 4,4,7,7,0.571428571,4,3,P01
247,nih_1870807,PHAR,PHAR,"Freire, Ernesto",study,M,P01,2,1 to 2,2,2,2,1,5,4,P01
248,nih_1870842,IMMU,IMMU,"Silhavy, Thomas J",study,M,R37,2,1 to 2,2,3,3,0.666666667,4,3,R
249,nih_1870853,MULT,MULT,"Stamler, Jonathan S",comp,M,P01,4,3 to 4,4,11,8+,0.363636364,1,1,P01
250,nih_1870861,MEDI,MEDI,"Karagas, Margaret R",comp,F,P42,6,5+,5+,9,8+,0.666666667,4,3,P
251,nih_1870864,BIOC,BIOC,"Reed, Steven I",comp,M,P41,4,3 to 4,4,7,7,0.571428571,4,3,P41
252,nih_1871016,AGRI,AGRI,"Merrill, Alfred H",study,M,U54,4,3 to 4,4,5,5,0.8,5,4,U
253,nih_1871080,CENG,CENG,"Egli, Martin",study,M,R01,1,1 to 2,1,4,4,0.25,1,1,R01
254,nih_1871261,AGRI,AGRI,"Harland, Richard M",study,M,R01,2,1 to 2,2,8,8+,0.25,1,1,R01
255,nih_1871272,AGRI,AGRI,"Sternberg, Paul W",comp,M,U41,4,3 to 4,4,7,7,0.571428571,4,3,U
256,nih_1871621,MULT,MULT,"Botstein, David",study,M,P01,3,3 to 4,3,5,5,0.6,4,3,P01
257,nih_1871634,PHAR,PHAR,"Glazer, Peter M",comp,M,P30,3,3 to 4,3,13,8+,0.230769231,1,1,P
258,nih_1871777,PHAR,PHAR,"Chang, Mayland F",study,F,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
259,nih_1871846,IMMU,IMMU,"Cohen, Fredric S",study,M,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
260,nih_1871873,MULT,MULT,"Gennis, Robert B",comp,M,P41,3,3 to 4,3,4,4,0.75,5,4,P41
261,nih_1871898,CENG,CENG,"Hoffman, Brian M",comp,M,R01,1,1 to 2,1,4,4,0.25,1,1,R01
262,nih_1872151,CENG,CENG,"Wickline, Samuel A",comp,M,U54,5,5+,5+,14,8+,0.357142857,1,1,U
263,nih_1872191,PHAR,PHAR,"Smrcka, Alan V",study,M,R01,1,1 to 2,1,4,4,0.25,1,1,R01
264,nih_1872624,IMMU,IMMU,"Carroll, Michael C",comp,M,P01,4,3 to 4,4,8,8+,0.5,2,2,P01
265,nih_1872879,IMMU,IMMU,"Wood, Charles",comp,M,P20,6,5+,5+,11,8+,0.545454545,3,3,P
266,nih_1872937,BIOC,BIOC,"Piper, Robert C",study,M,R21,2,1 to 2,2,3,3,0.666666667,4,3,R
267,nih_1872999,AGRI,AGRI,"Ghosh, Gourisankar",comp,M,P01,2,1 to 2,2,7,7,0.285714286,1,1,P01
268,nih_1873251,MEDI,MEDI,"Markwald, Roger R",comp,M,P20,4,3 to 4,4,7,7,0.571428571,4,3,P
269,nih_1873519,CHEM,CHEM,"Rosenzweig, Amy C",study,M,R01,1,1 to 2,1,2,2,0.5,2,2,R01
270,nih_1873581,MULT,MULT,"Nunnari, Jodi M",study,M,R37,3,3 to 4,3,6,6,0.5,2,2,R
271,nih_1874203,NEUR,NEUR,"Sanna, Pietro P",comp,M,P50,6,5+,5+,14,8+,0.428571429,2,2,P
272,nih_1875180,MULT,MULT,"Liu, Yi",study,M,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
273,nih_1876102,AGRI,AGRI,"Schultz, Richard M",comp,M,U01,5,5+,5+,10,8+,0.5,2,2,U
274,nih_1876106,MULT,MULT,"Stark, George R",comp,M,P01,2,1 to 2,2,3,3,0.666666667,4,3,P01
275,nih_1876117,IMMU,IMMU,"Ruby, Edward G",comp,M,R01,1,1 to 2,1,4,4,0.25,1,1,R01
276,nih_1876138,AGRI,AGRI,"Reinitz, John B",comp,M,P50,3,3 to 4,3,4,4,0.75,5,4,P
277,nih_1876206,NEUR,NEUR,"Reh, Thomas A",comp,M,P01,2,1 to 2,2,5,5,0.4,2,1,P01
278,nih_1876339,NEUR,NEUR,"Tsien, Richard W",comp,M,R56,3,3 to 4,3,8,8+,0.375,2,1,R
279,nih_1876407,PHAR,PHAR,"Sullenger, Bruce A",comp,M,U19,5,5+,5+,7,7,0.714285714,5,4,U
280,nih_1876487,AGRI,AGRI,"Chakravarti, Aravinda",comp,M,R01,5,5+,5+,9,8+,0.555555556,3,3,R01
281,nih_1876555,IMMU,IMMU,"Henson, Peter M",comp,M,P50,3,3 to 4,3,10,8+,0.3,1,1,P
282,nih_1876686,MEDI,MEDI,"Murry, Charles E",comp,M,P01,4,3 to 4,4,7,7,0.571428571,4,3,P01
283,nih_1876731,AGRI,AGRI,"Kay, Steve A",study,M,RC2,3,3 to 4,3,6,6,0.5,2,2,RC
284,nih_1876792,AGRI,AGRI,"Levin, David E",study,M,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
285,nih_1876807,MEDI,MEDI,"Thompson, Elizabeth",study,F,R37,2,1 to 2,2,2,2,1,5,4,R
286,nih_1876808,NEUR,NEUR,"Goldberg, Alfred L",study,M,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
287,nih_1876836,AGRI,AGRI,"Lambowitz, Alan M",study,M,R37,2,1 to 2,2,4,4,0.5,2,2,R
288,nih_1876857,AGRI,AGRI,"Stormo, Gary D",comp,M,U01,3,3 to 4,3,5,5,0.6,4,3,U
289,nih_1876861,MULT,MULT,"Pollard, Thomas D",study,M,P01,3,3 to 4,3,4,4,0.75,5,4,P01
290,nih_1876869,AGRI,AGRI,"Firtel, Richard A",study,M,P01,3,3 to 4,3,7,7,0.428571429,2,2,P01
291,nih_1876977,CHEM,CHEM,"Petering, David H",comp,M,P30,3,3 to 4,3,4,4,0.75,5,4,P
292,nih_1877201,MEDI,MEDI,"Wu, Gary D",comp,M,UH2,4,3 to 4,4,7,7,0.571428571,4,3,UH
293,nih_1877243,MEDI,MEDI,"Cleveland, John L",comp,M,R01,1,1 to 2,1,6,6,0.166666667,1,1,R01
294,nih_1877275,CENG,CENG,"Solomon, Edward I",study,M,P41,3,3 to 4,3,4,4,0.75,5,4,P41
295,nih_1877450,NEUR,NEUR,"Edwards, Robert H",comp,M,U01,5,5+,5+,8,8+,0.625,4,3,U
296,nih_1877638,PHAR,PHAR,"Fenical, William",comp,M,P01,4,3 to 4,4,7,7,0.571428571,4,3,P01
297,nih_1877790,AGRI,AGRI,"Vergara, Julio L",comp,M,R56,3,3 to 4,3,7,7,0.428571429,2,2,R
298,nih_1877799,IMMU,IMMU,"James, Judith A",comp,F,U19,9,5+,5+,14,8+,0.642857143,4,3,U
299,nih_1877831,IMMU,IMMU,"Cooper, Max D",comp,M,U19,3,3 to 4,3,5,5,0.6,4,3,U
300,nih_1877883,IMMU,IMMU,"Greene, Warner C",comp,M,U19,6,5+,5+,13,8+,0.461538462,2,2,U
301,nih_1877944,IMMU,IMMU,"Gross, Carol",study,F,R37,2,1 to 2,2,5,5,0.4,2,1,R
302,nih_1878085,PHAR,PHAR,"Cooperman, Barry S",study,M,R01,1,1 to 2,1,5,5,0.2,1,1,R01
303,nih_1878171,NULL.,OTHER,"Harris, Robert A",comp,M,P01,1,1 to 2,1,1,1,1,5,4,P01
304,nih_1878564,MEDI,MEDI,"Freeze, Hudson H",comp,M,P41,4,3 to 4,4,10,8+,0.4,2,1,P41
305,nih_1878566,IMMU,IMMU,"Moldawer, Lyle L",study,M,U54,5,5+,5+,11,8+,0.454545455,2,2,U
306,nih_1878576,NEUR,NEUR,"Montell, Craig",comp,M,DP1,3,3 to 4,3,6,6,0.5,2,2,DP
307,nih_1878612,PHAR,PHAR,"Devi, Lakshmi A",comp,F,P50,5,5+,5+,6,6,0.833333333,5,4,P
308,nih_1878773,MULT,MULT,"Glass, Christopher K",comp,M,U54,7,5+,5+,13,8+,0.538461538,3,3,U
309,nih_1878823,PHAR,PHAR,"Clardy, Jon",comp,M,P41,7,5+,5+,15,8+,0.466666667,2,2,P41
310,nih_1878922,IMMU,IMMU,"Wilson, Ian A",comp,M,U54,7,5+,5+,21,8+,0.333333333,1,1,U
311,nih_1879132,AGRI,AGRI,"Rothstein, Rodney J",study,M,R37,4,3 to 4,4,6,6,0.666666667,4,3,R
312,nih_1879137,CENG,CENG,"Millar, David P",study,M,P50,3,3 to 4,3,4,4,0.75,5,4,P
313,nih_1879138,IMMU,IMMU,"Chazin, Walter J",study,M,P30,5,5+,5+,11,8+,0.454545455,2,2,P
314,nih_1879348,MEDI,MEDI,"Piston, David W",comp,M,U54,6,5+,5+,11,8+,0.545454545,3,3,U
315,nih_1879377,NEUR,NEUR,"Schier, Alexander F",study,M,U01,3,3 to 4,3,11,8+,0.272727273,1,1,U
316,nih_1879395,MULT,MULT,"Cerione, Richard A",study,M,P41,2,1 to 2,2,7,7,0.285714286,1,1,P41
317,nih_1879397,BIOC,BIOC,"Sung, Patrick",comp,M,P01,2,1 to 2,2,11,8+,0.181818182,1,1,P01
318,nih_1879411,CENG,CENG,"Yarmush, Martin L",comp,M,UH2,3,3 to 4,3,10,8+,0.3,1,1,UH
319,nih_1879448,AGRI,AGRI,"Rothman, Joel H",comp,M,R01,2,1 to 2,2,10,8+,0.2,1,1,R01
320,nih_1879476,MULT,MULT,"Cantley, Lewis C",study,M,P41,4,3 to 4,4,8,8+,0.5,2,2,P41
321,nih_1879567,IMMU,IMMU,"Walker, Graham C",study,M,R01,2,1 to 2,2,4,4,0.5,2,2,R01
322,nih_1879587,MULT,MULT,"Varshavsky, Alexander J",study,M,R37,3,3 to 4,3,5,5,0.6,4,3,R
323,nih_1879843,IMMU,IMMU,"Kolter, Roberto G",study,M,P01,2,1 to 2,2,3,3,0.666666667,4,3,P01
324,nih_1879845,CENG,CENG,"Kool, Eric T",study,M,R01,2,1 to 2,2,11,8+,0.181818182,1,1,R01
325,nih_1879853,CENG,CENG,"Jacobsen, Eric N",study,M,P50,3,3 to 4,3,4,4,0.75,5,4,P
326,nih_1879891,IMMU,IMMU,"Milligan, Ronald A",study,M,P41,3,3 to 4,3,5,5,0.6,4,3,P41
327,nih_1880263,NEUR,NEUR,"Singer, Robert H",study,M,P20,4,3 to 4,4,11,8+,0.363636364,1,1,P
328,nih_1880266,PHAR,PHAR,"Anderson, Karen S",study,F,R01,3,3 to 4,3,8,8+,0.375,2,1,R01
329,nih_1880314,AGRI,AGRI,"Quail, Peter H",study,M,R01,1,1 to 2,1,1,1,1,5,4,R01
330,nih_1880322,IMMU,IMMU,"Bauer, Carl E",study,M,P41,3,3 to 4,3,6,6,0.5,2,2,P41
331,nih_1880324,BIOC,BIOC,"West, Christopher M",study,M,R01,2,1 to 2,2,3,3,0.666666667,4,3,R01
332,nih_1880327,IMMU,IMMU,"Belasco, Joel G",study,M,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
333,nih_1880328,MULT,MULT,"Levine, Michael S",study,M,P01,5,5+,5+,7,7,0.714285714,5,4,P01
334,nih_1880397,MULT,MULT,"Smith, Janet L",comp,F,R01,2,1 to 2,2,5,5,0.4,2,1,R01
335,nih_1880416,AGRI,AGRI,"Quaranta, Vito",comp,M,U54,4,3 to 4,4,8,8+,0.5,2,2,U
336,nih_1880450,AGRI,AGRI,"Obeid, Lina M",comp,F,P20,4,3 to 4,4,6,6,0.666666667,4,3,P
337,nih_1880539,IMMU,IMMU,"Salomon, Daniel R",comp,M,M01,7,5+,5+,11,8+,0.636363636,4,3,M
338,nih_1880550,IMMU,IMMU,"Havran, Wendy L",comp,F,R01,2,1 to 2,2,8,8+,0.25,1,1,R01
339,nih_1880571,MEDI,MEDI,"Timchenko, Nikolai A",comp,M,R01,3,3 to 4,3,8,8+,0.375,2,1,R01
340,nih_1880714,AGRI,AGRI,"Li, Rong",study,F,P01,3,3 to 4,3,4,4,0.75,5,4,P01
341,nih_1880722,BIOC,BIOC,"Lutsenko, Svetlana",comp,F,P01,4,3 to 4,4,6,6,0.666666667,4,3,P01
342,nih_1880733,CHEM,CHEM,"Molander, Gary A",study,M,P41,2,1 to 2,2,6,6,0.333333333,1,1,P41
343,nih_1880734,BIOC,BIOC,"Bartholomew, Blaine",study,M,R01,1,1 to 2,1,3,3,0.333333333,1,1,R01
344,nih_1880892,PHYS,OTHER,"Derewenda, Zygmunt S",study,M,U54,3,3 to 4,3,6,6,0.5,2,2,U
345,nih_1880940,MEDI,MEDI,"Burke, Wylie G",comp,M,P50,3,3 to 4,3,6,6,0.5,2,2,P
346,nih_1880945,MULT,MULT,"Soll, Dieter G",study,M,P41,2,1 to 2,2,2,2,1,5,4,P41
347,nih_1880956,IMMU,IMMU,"Christie, Peter J",study,M,R21,2,1 to 2,2,2,2,1,5,4,R
348,nih_1880992,NEUR,NEUR,"Carlson, John R",comp,M,R01,1,1 to 2,1,4,4,0.25,1,1,R01
349,nih_1881003,IMMU,IMMU,"Huttenlocher, Anna",comp,F,P01,3,3 to 4,3,7,7,0.428571429,2,2,P01
350,nih_1881159,PHAR,PHAR,"Murphy, Robert C",comp,M,U54,3,3 to 4,3,6,6,0.5,2,2,U
351,nih_1881187,MEDI,MEDI,"Billiar, Timothy R",study,M,U01,4,3 to 4,4,6,6,0.666666667,4,3,U
352,nih_1881208,CHEM,CHEM,"Opella, Stanley J",study,M,P01,4,3 to 4,4,12,8+,0.333333333,1,1,P01
353,nih_1881249,PHAR,PHAR,"Torchilin, Vladimir P",comp,M,U54,3,3 to 4,3,9,8+,0.333333333,1,1,U
354,nih_1881371,MEDI,MEDI,"Erle, David J",comp,M,P50,4,3 to 4,4,9,8+,0.444444444,2,2,P
355,nih_1881391,MULT,MULT,"Block, Steven M",study,M,R37,2,1 to 2,2,3,3,0.666666667,4,3,R
356,nih_1881411,PHAR,PHAR,"Janda, Kim",comp,M,R01,4,3 to 4,4,24,8+,0.166666667,1,1,R01
357,nih_1881551,CENG,CENG,"Fu, Gregory C",study,M,R37,2,1 to 2,2,5,5,0.4,2,1,R
358,nih_1881563,NEUR,NEUR,"Bassell, Gary J",comp,M,P30,3,3 to 4,3,17,8+,0.176470588,1,1,P
359,nih_1881569,AGRI,AGRI,"Glick, Benjamin S",study,M,P30,2,1 to 2,2,5,5,0.4,2,1,P
